country,article_name,rev_id,article_quality_est,country_pop,subregion,subregion_pop,subregion2,subregion2_pop
Rhodesian,Gervas Clay,574571582.0,Stub,,,,,
Rhodesian,Harry Davies (politician),669387487.0,Start,,,,,
Rhodesian,William Fairbridge,682576258.0,Start,,,,,
Rhodesian,Washington Malianga,711506001.0,Stub,,,,,
Rhodesian,Ronald Snapper,712233907.0,Stub,,,,,
Rhodesian,Gerald B. Clarke,747497059.0,Stub,,,,,
Rhodesian,Francis Chaplin,763530115.0,Stub,,,,,
Rhodesian,Roger Hawkins (politician),763533706.0,Start,,,,,
Rhodesian,George Mitchell (Rhodesia),763540238.0,Stub,,,,,
Rhodesian,John Landau,763870152.0,Stub,,,,,
Rhodesian,Byron Hove,763951988.0,Start,,,,,
Rhodesian,Hilary Squires,766847256.0,Stub,,,,,
Rhodesian,Cecil Dennistoun Burney,774837666.0,Stub,,,,,
Rhodesian,Mark Partridge,780260926.0,Stub,,,,,
Rhodesian,Prime Minister of Rhodesia,782602484.0,Start,,,,,
Rhodesian,Leo Cardwell Ross,783150296.0,Start,,,,,
Rhodesian,Josiah Gondo,783150589.0,C,,,,,
Rhodesian,Dunduzu Chisiza,783301534.0,B,,,,,
Rhodesian,Allan Ross Welsh,784562559.0,C,,,,,
Rhodesian,John Moore Caldicott,784757829.0,Start,,,,,
Rhodesian,John Ralph Beaumont,784758963.0,Start,,,,,
Rhodesian,Leonard Ray Morgan,784769027.0,Start,,,,,
Rhodesian,Raleigh Grey,784826325.0,Start,,,,,
Rhodesian,Robert Clarkson Tredgold,784830601.0,Start,,,,,
Rhodesian,Robert James Hudson,784831407.0,B,,,,,
Rhodesian,William Harper (Rhodesian politician),784870217.0,FA,,,,,
Rhodesian,Rowan Cronjé,784974615.0,GA,,,,,
Rhodesian,Edgar Whitehead,786601705.0,Start,,,,,
Rhodesian,Henry Hamilton Beamish,786659504.0,Start,,,,,
Rhodesian,Lionel Cripps,787105083.0,Start,,,,,
Rhodesian,A. R. Colquhoun,787147677.0,Start,,,,,
Rhodesian,John McChlery,787854502.0,Stub,,,,,
Rhodesian,Jeremiah Chirau,789545107.0,Stub,,,,,
Rhodesian,Winston Field,789689591.0,C,,,,,
Rhodesian,Howard Unwin Moffat,790010191.0,Start,,,,,
Rhodesian,Ken Flower,794528943.0,Start,,,,,
